fraction,task,seed,model,threshold,macro_f1,micro_f1,prediction
100pct,superdiagnostic,42,clear_hug,0.5,0.5895914087066959,0.6147448015122874,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\superdiagnostic-seed42\formal-test\hug\test_predictions.npz
100pct,superdiagnostic,42,heartlang,0.5,0.6567312202479358,0.7090352220520674,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\superdiagnostic-seed42\heartlang\formal-test\test_predictions.npz
100pct,superdiagnostic,42,hilar,0.5,0.6835131615865857,0.7520692249811889,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\superdiagnostic-seed42\formal-test\paired\test_predictions.npz
100pct,superdiagnostic,46,clear_hug,0.5,0.6027318068620098,0.6284953395472703,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\superdiagnostic-seed46\formal-test\hug\test_predictions.npz
100pct,superdiagnostic,46,heartlang,0.5,0.6501277502413596,0.7000983284169124,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\superdiagnostic-seed46\heartlang\formal-test\test_predictions.npz
100pct,superdiagnostic,46,hilar,0.5,0.6907754507778638,0.7506542056074766,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\superdiagnostic-seed46\formal-test\paired\test_predictions.npz
100pct,superdiagnostic,55,clear_hug,0.5,0.6067336203879561,0.6281789493224429,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\superdiagnostic-seed55\formal-test\hug\test_predictions.npz
100pct,superdiagnostic,55,heartlang,0.5,0.6371357936064748,0.6962962962962963,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\superdiagnostic-seed55\heartlang\formal-test\test_predictions.npz
100pct,superdiagnostic,55,hilar,0.5,0.6888652363670588,0.7528174305033809,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\superdiagnostic-seed55\formal-test\paired\test_predictions.npz
100pct,subdiagnostic,42,clear_hug,0.5,0.2899869643108289,0.4974757281553398,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\subdiagnostic-seed42\formal-test\hug\test_predictions.npz
100pct,subdiagnostic,42,heartlang,0.5,0.2611779101291746,0.5758002818602779,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\subdiagnostic-seed42\heartlang\formal-test\test_predictions.npz
100pct,subdiagnostic,42,hilar,0.5,0.3335368576294635,0.658724340175953,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\subdiagnostic-seed42\formal-test\paired\test_predictions.npz
100pct,subdiagnostic,46,clear_hug,0.5,0.3051963918483862,0.5128604832424006,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\subdiagnostic-seed46\formal-test\hug\test_predictions.npz
100pct,subdiagnostic,46,heartlang,0.5,0.28390183228749993,0.5831353919239906,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\subdiagnostic-seed46\heartlang\formal-test\test_predictions.npz
100pct,subdiagnostic,46,hilar,0.5,0.32819161266461067,0.6546816479400749,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\subdiagnostic-seed46\formal-test\paired\test_predictions.npz
100pct,subdiagnostic,55,clear_hug,0.5,0.26184737344524356,0.4896959804121608,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\subdiagnostic-seed55\formal-test\hug\test_predictions.npz
100pct,subdiagnostic,55,heartlang,0.5,0.27169944375027283,0.5717188134904511,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\subdiagnostic-seed55\heartlang\formal-test\test_predictions.npz
100pct,subdiagnostic,55,hilar,0.5,0.33189142405438465,0.6549621142117908,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\subdiagnostic-seed55\formal-test\paired\test_predictions.npz
100pct,form,42,clear_hug,0.5,0.11610152828873525,0.34092307692307694,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\form-seed42\formal-test\hug\test_predictions.npz
100pct,form,42,heartlang,0.5,0.13185889726077862,0.358560794044665,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\form-seed42\heartlang\formal-test\test_predictions.npz
100pct,form,42,hilar,0.5,0.21790985796267084,0.4857296715131933,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\form-seed42\formal-test\paired\test_predictions.npz
100pct,form,46,clear_hug,0.5,0.08851766485845769,0.331421287444232,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\form-seed46\formal-test\hug\test_predictions.npz
100pct,form,46,heartlang,0.5,0.14951118046448025,0.37014563106796117,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\form-seed46\heartlang\formal-test\test_predictions.npz
100pct,form,46,hilar,0.5,0.2356555865820887,0.46153846153846156,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\form-seed46\formal-test\paired\test_predictions.npz
100pct,form,55,clear_hug,0.5,0.16072648904611944,0.3958785249457701,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\form-seed55\formal-test\hug\test_predictions.npz
