fraction,task,seed,model,threshold,macro_f1,micro_f1
100pct,cpsc2018,42,heartlang,0.5,0.2528152530995322,0.37716615698267075
100pct,cpsc2018,42,stmem,0.5,0.7055330960751864,0.7887963663890991
100pct,cpsc2018,46,heartlang,0.5,0.2758263346723837,0.39558232931726905
100pct,cpsc2018,46,stmem,0.5,0.7065338358434651,0.7900113507377979
100pct,cpsc2018,55,heartlang,0.5,0.2722127489146269,0.387227572225038
100pct,cpsc2018,55,stmem,0.5,0.7056390772505152,0.7878787878787878
100pct,csn,42,heartlang,0.5,0.2456356030771989,0.6325704499455084
100pct,csn,42,stmem,0.5,0.37506516014533214,0.7388218075375046
100pct,csn,46,heartlang,0.5,0.2533367722659623,0.6339782251116158
100pct,csn,46,stmem,0.5,0.37587990178142544,0.7384908146087975
100pct,csn,55,heartlang,0.5,0.24952318026930712,0.6326957329822659
100pct,csn,55,stmem,0.5,0.3752588967855722,0.7383601756954612
100pct,form,42,heartlang,0.5,0.13185889726077862,0.358560794044665
100pct,form,42,stmem,0.5,0.21716351365093758,0.49126760563380284
100pct,form,46,heartlang,0.5,0.14951118046448025,0.37014563106796117
100pct,form,46,stmem,0.5,0.2185454827663093,0.49213483146067416
100pct,form,55,heartlang,0.5,0.14935613316559584,0.37163814180929094
100pct,form,55,stmem,0.5,0.21259031164682995,0.48873873873873874
100pct,rhythm,42,heartlang,0.5,0.3146474075257295,0.8565891472868217
100pct,rhythm,42,stmem,0.5,0.4700655761676101,0.9075670498084292
100pct,rhythm,46,heartlang,0.5,0.29753722986178205,0.859942638623327
100pct,rhythm,46,stmem,0.5,0.4692624206981096,0.9086124401913875
100pct,rhythm,55,heartlang,0.5,0.3105488506168134,0.8555582348685797
100pct,rhythm,55,stmem,0.5,0.46635746755817814,0.9076996652319465
100pct,subdiagnostic,42,heartlang,0.5,0.2611779101291746,0.5758002818602779
100pct,subdiagnostic,42,stmem,0.5,0.3209498632510826,0.6133072407045009
100pct,subdiagnostic,46,heartlang,0.5,0.28390183228749993,0.5831353919239906
100pct,subdiagnostic,46,stmem,0.5,0.31968466321273203,0.6120368555185258
100pct,subdiagnostic,55,heartlang,0.5,0.27169944375027283,0.5717188134904511
100pct,subdiagnostic,55,stmem,0.5,0.31874842422052013,0.6100827097282394
100pct,superdiagnostic,42,heartlang,0.5,0.6567312202479358,0.7090352220520674
100pct,superdiagnostic,42,stmem,0.5,0.6672592987329372,0.7204921184159938
100pct,superdiagnostic,46,heartlang,0.5,0.6501277502413596,0.7000983284169124
100pct,superdiagnostic,46,stmem,0.5,0.6668438821244307,0.7204156243986916
100pct,superdiagnostic,55,heartlang,0.5,0.6371357936064748,0.6962962962962963
100pct,superdiagnostic,55,stmem,0.5,0.6654512083779267,0.7193387158785083
10pct,cpsc2018,42,heartlang,0.5,0.0750095603739207,0.16173808086904043
10pct,cpsc2018,42,stmem,0.5,0.3648173370647166,0.5464165464165465
10pct,cpsc2018,46,heartlang,0.5,0.042247841646733356,0.07662337662337662
10pct,cpsc2018,46,stmem,0.5,0.34363085213642236,0.5647840531561462
10pct,cpsc2018,55,heartlang,0.5,0.09199106562802158,0.19791666666666666
10pct,cpsc2018,55,stmem,0.5,0.3906854254819647,0.5754583921015515
10pct,csn,42,heartlang,0.5,0.14337393324997794,0.5515698782205285
10pct,csn,42,stmem,0.5,0.24810564664664364,0.680453431372549
10pct,csn,46,heartlang,0.5,0.13899478305758697,0.5461199367878233
10pct,csn,46,stmem,0.5,0.2453891318883081,0.6758960159975388
10pct,csn,55,heartlang,0.5,0.1517316706696797,0.5602941176470588
10pct,csn,55,stmem,0.5,0.2511982026440198,0.6824251726784344
10pct,form,42,heartlang,0.5,0.07858394020589095,0.25375170532060026
10pct,form,42,stmem,0.5,0.10628480068561973,0.35428571428571426
10pct,form,46,heartlang,0.5,0.08536986055157592,0.30440414507772023
10pct,form,46,stmem,0.5,0.11094239911165038,0.3926153846153846
10pct,form,55,heartlang,0.5,0.08431712050573127,0.271343481138319
10pct,form,55,stmem,0.5,0.10504662797671686,0.37641154328732745
10pct,rhythm,42,heartlang,0.5,0.2530785217102826,0.8328060355317596
10pct,rhythm,42,stmem,0.5,0.35366285036104506,0.8881372312152694
10pct,rhythm,46,heartlang,0.5,0.2018376782688394,0.8335731414868105
10pct,rhythm,46,stmem,0.5,0.34011387464385806,0.8885672937771346
10pct,rhythm,55,heartlang,0.5,0.18956177570640023,0.8323251875151222
10pct,rhythm,55,stmem,0.5,0.28928864089695744,0.8824812212260722
10pct,subdiagnostic,42,heartlang,0.5,0.18736802298284957,0.5126903553299492
10pct,subdiagnostic,42,stmem,0.5,0.20956510281769467,0.5355329949238579
10pct,subdiagnostic,46,heartlang,0.5,0.18447405929859736,0.5154464663563267
10pct,subdiagnostic,46,stmem,0.5,0.20911811411071532,0.5381013197105151
10pct,subdiagnostic,55,heartlang,0.5,0.183985517034318,0.5083881928222552
10pct,subdiagnostic,55,stmem,0.5,0.21486938512390716,0.5370330843116329
10pct,superdiagnostic,42,heartlang,0.5,0.5787260620174428,0.6523656776263032
10pct,superdiagnostic,42,stmem,0.5,0.598785316645243,0.6794466403162055
10pct,superdiagnostic,46,heartlang,0.5,0.586605172357992,0.6493975903614457
10pct,superdiagnostic,46,stmem,0.5,0.6101552879840513,0.6834091358512953
10pct,superdiagnostic,55,heartlang,0.5,0.5855489186655182,0.6483316481294237
10pct,superdiagnostic,55,stmem,0.5,0.6037919531081049,0.6765116743165037
1pct,cpsc2018,42,heartlang,0.5,0.07438690969443142,0.19070904645476772
1pct,cpsc2018,42,stmem,0.5,0.2318060274050876,0.4186746987951807
1pct,cpsc2018,46,heartlang,0.5,0.1527828185473115,0.22606596942880128
1pct,cpsc2018,46,stmem,0.5,0.24010412936688041,0.39221710189452125
1pct,cpsc2018,55,heartlang,0.5,0.09353061722137403,0.20992167101827677
1pct,cpsc2018,55,stmem,0.5,0.3473986492052096,0.5535224153705398
1pct,csn,42,heartlang,0.5,0.06432148982727241,0.37906203840472674
1pct,csn,42,stmem,0.5,0.10908362468520026,0.5721594190939846
1pct,csn,46,heartlang,0.5,0.07064479404117238,0.3691792917557394
1pct,csn,46,stmem,0.5,0.08827949393173637,0.548151959523197
1pct,csn,55,heartlang,0.5,0.07146744079418292,0.40837226015091627
1pct,csn,55,stmem,0.5,0.09434439741715941,0.5428937259923176
1pct,form,42,heartlang,0.5,0.08084364362487895,0.2043969102792632
1pct,form,42,stmem,0.5,0.08267565380081406,0.23675154852030283
1pct,form,46,heartlang,0.5,0.0758346710811108,0.26519337016574585
1pct,form,46,stmem,0.5,0.07067446912370162,0.30613535736875397
1pct,form,55,heartlang,0.5,0.0680159013836921,0.24150485436893204
1pct,form,55,stmem,0.5,0.0770504256335408,0.24893227577791335
1pct,rhythm,42,heartlang,0.5,0.09270036643155394,0.1747638708217861
1pct,rhythm,42,stmem,0.5,0.22367166599050659,0.8559509202453988
1pct,rhythm,46,heartlang,0.5,0.14105772406230796,0.8032473734479465
1pct,rhythm,46,stmem,0.5,0.19307582438144957,0.8582486695694242
1pct,rhythm,55,heartlang,0.5,0.13405878754512773,0.8105237750422399
1pct,rhythm,55,stmem,0.5,0.1607856790223369,0.8412973508294133
1pct,subdiagnostic,42,heartlang,0.5,0.0851671042787564,0.3919574763115322
1pct,subdiagnostic,42,stmem,0.5,0.0781614596826339,0.42218080149114634
1pct,subdiagnostic,46,heartlang,0.5,0.11318189094264187,0.4551451187335092
1pct,subdiagnostic,46,stmem,0.5,0.0714220050974877,0.4207637777269609
1pct,subdiagnostic,55,heartlang,0.5,0.09177849174772372,0.438844232022594
1pct,subdiagnostic,55,stmem,0.5,0.06274342822264528,0.4073486051258789
1pct,superdiagnostic,42,heartlang,0.5,0.49281622345377424,0.5787941787941788
1pct,superdiagnostic,42,stmem,0.5,0.4292526447779732,0.5848329048843187
1pct,superdiagnostic,46,heartlang,0.5,0.4928224587084492,0.5736434108527132
1pct,superdiagnostic,46,stmem,0.5,0.46886823574219766,0.5897489981016664
1pct,superdiagnostic,55,heartlang,0.5,0.46514718446980047,0.5659540137152077
1pct,superdiagnostic,55,stmem,0.5,0.4242579184570583,0.5554161438728565
