fraction,task,seed,model,macro_auroc,macro_auprc
100pct,superdiagnostic,42,heartlang,0.885037641789182,0.7367002007371104
100pct,superdiagnostic,42,stmem,0.9004121878934974,0.7659058088467979
100pct,superdiagnostic,46,heartlang,0.885027987658507,0.7359535485104232
100pct,superdiagnostic,46,stmem,0.9003899679228444,0.7659623127104148
100pct,superdiagnostic,55,heartlang,0.8854078017911874,0.7368987202840632
100pct,superdiagnostic,55,stmem,0.900531470364989,0.7661244876223859
100pct,subdiagnostic,42,heartlang,0.8942052062145003,0.39061655527879446
100pct,subdiagnostic,42,stmem,0.9154702253646775,0.42848441922080027
100pct,subdiagnostic,46,heartlang,0.8957890775383757,0.39232633605270484
100pct,subdiagnostic,46,stmem,0.9153518996065203,0.4294298452708113
100pct,subdiagnostic,55,heartlang,0.894489825848289,0.3936372926754094
100pct,subdiagnostic,55,stmem,0.9155969527172788,0.4302272655367043
100pct,form,42,heartlang,0.8089483518096414,0.25154841258830224
100pct,form,42,stmem,0.8814791484095853,0.32484457609133593
100pct,form,46,heartlang,0.8103639841025752,0.24785240602641834
100pct,form,46,stmem,0.8820593970694032,0.3271193976475346
100pct,form,55,heartlang,0.8075866988155365,0.2489848705418577
100pct,form,55,stmem,0.8818473922494656,0.32534109587808824
100pct,rhythm,42,heartlang,0.9078229252752896,0.40983330293652576
100pct,rhythm,42,stmem,0.9590065496224888,0.578590655552835
100pct,rhythm,46,heartlang,0.901125743241984,0.42272478586260426
100pct,rhythm,46,stmem,0.9587466923416225,0.5982811590010308
100pct,rhythm,55,heartlang,0.9049802998551706,0.4172891412683973
100pct,rhythm,55,stmem,0.9588533254100837,0.5793230306327929
100pct,cpsc2018,42,heartlang,0.7996913588096913,0.3994243835888762
100pct,cpsc2018,42,stmem,0.9537256777612496,0.7923141358757935
100pct,cpsc2018,46,heartlang,0.8026383867678641,0.4109007191558554
100pct,cpsc2018,46,stmem,0.9540474125347238,0.7930803909919992
100pct,cpsc2018,55,heartlang,0.8011773202370072,0.4083978867154946
100pct,cpsc2018,55,stmem,0.9538098463917785,0.7916218777165089
100pct,csn,42,heartlang,0.8973435721924437,0.3630393870155808
100pct,csn,42,stmem,0.9521528169435688,0.47335438795733803
100pct,csn,46,heartlang,0.8986014613440293,0.36116295904154483
100pct,csn,46,stmem,0.9519356387351616,0.473161570752999
100pct,csn,55,heartlang,0.8991670427198626,0.36262840845102373
100pct,csn,55,stmem,0.952281968572275,0.4733833569249436
10pct,superdiagnostic,42,heartlang,0.8506301297016755,0.6832731602375157
10pct,superdiagnostic,42,stmem,0.8742047427767548,0.707822411991117
